,number,value,datetime_start,datetime_complete,duration,params_AAPL_INTU_beta_win,params_AAPL_INTU_stop_loss,params_AAPL_INTU_trade_freq,params_AAPL_INTU_z_entry,params_AAPL_INTU_z_exit,params_AAPL_INTU_z_stop_scaler,params_AAPL_INTU_z_win,params_ABNB_GEHCV_beta_win,params_ABNB_GEHCV_stop_loss,params_ABNB_GEHCV_trade_freq,params_ABNB_GEHCV_z_entry,params_ABNB_GEHCV_z_exit,params_ABNB_GEHCV_z_stop_scaler,params_ABNB_GEHCV_z_win,params_ADP_MELI_beta_win,params_ADP_MELI_stop_loss,params_ADP_MELI_trade_freq,params_ADP_MELI_z_entry,params_ADP_MELI_z_exit,params_ADP_MELI_z_stop_scaler,params_ADP_MELI_z_win,params_AMAT_AEP_beta_win,params_AMAT_AEP_stop_loss,params_AMAT_AEP_trade_freq,params_AMAT_AEP_z_entry,params_AMAT_AEP_z_exit,params_AMAT_AEP_z_stop_scaler,params_AMAT_AEP_z_win,params_AMZN_LRCX_beta_win,params_AMZN_LRCX_stop_loss,params_AMZN_LRCX_trade_freq,params_AMZN_LRCX_z_entry,params_AMZN_LRCX_z_exit,params_AMZN_LRCX_z_stop_scaler,params_AMZN_LRCX_z_win,params_CSGP_ILMN_beta_win,params_CSGP_ILMN_stop_loss,params_CSGP_ILMN_trade_freq,params_CSGP_ILMN_z_entry,params_CSGP_ILMN_z_exit,params_CSGP_ILMN_z_stop_scaler,params_CSGP_ILMN_z_win,params_CSX_ILMN_beta_win,params_CSX_ILMN_stop_loss,params_CSX_ILMN_trade_freq,params_CSX_ILMN_z_entry,params_CSX_ILMN_z_exit,params_CSX_ILMN_z_stop_scaler,params_CSX_ILMN_z_win,params_DDOG_ILMN_beta_win,params_DDOG_ILMN_stop_loss,params_DDOG_ILMN_trade_freq,params_DDOG_ILMN_z_entry,params_DDOG_ILMN_z_exit,params_DDOG_ILMN_z_stop_scaler,params_DDOG_ILMN_z_win,params_EXC_GEHCV_beta_win,params_EXC_GEHCV_stop_loss,params_EXC_GEHCV_trade_freq,params_EXC_GEHCV_z_entry,params_EXC_GEHCV_z_exit,params_EXC_GEHCV_z_stop_scaler,params_EXC_GEHCV_z_win,params_GILD_WBA_beta_win,params_GILD_WBA_stop_loss,params_GILD_WBA_trade_freq,params_GILD_WBA_z_entry,params_GILD_WBA_z_exit,params_GILD_WBA_z_stop_scaler,params_GILD_WBA_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-3.0240688907865336,2025-06-15 01:23:54.007332,2025-06-15 01:23:55.174285,0 days 00:00:01.166953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,0.009000000000000001,3m,3.5,2.0,1.3,502,876.0,0.003,3m,1.0,3.0,1.3,394.0,1000.0,0.002,1m,2.5,2.0,0.6,468.0,,,,,,,,,,,,,,,,,,,,,,0.5,3,COMPLETE
1,1,-1.9475324400310665,2025-06-15 01:23:55.245518,2025-06-15 01:23:56.676213,0 days 00:00:01.430695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,0.009000000000000001,2m,4.0,1.5,1.9000000000000001,320,210.0,0.009000000000000001,1m,3.0,3.0,1.9000000000000001,948.0,984.0,0.006,3m,2.5,3.0,1.0,592.0,,,,,,,,,,,,,,,,,,,,,,0.3,3,COMPLETE
2,2,-6.115399974836736,2025-06-15 01:23:56.738638,2025-06-15 01:24:00.692322,0 days 00:00:03.953684,110.0,0.003,4m,1.0,4.0,1.6,146.0,,,,,,,,34.0,0.005,2m,3.0,3.5,0.8,230.0,670.0,0.006,4m,2.0,2.5,0.8,548.0,270,0.008,4m,1.0,1.5,0.5,50,978.0,0.007,3m,1.5,4.0,0.7,698.0,572.0,0.008,4m,1.5,3.5,2.0,386.0,652.0,0.001,4m,3.0,1.5,0.5,828.0,76.0,0.001,3m,2.5,2.5,0.6,388.0,920.0,0.003,3m,2.5,1.0,1.3,360.0,0.2,9,COMPLETE
3,3,0.8704921392988834,2025-06-15 01:24:00.752870,2025-06-15 01:24:03.006311,0 days 00:00:02.253441,434.0,0.006,3m,2.5,3.5,0.7,974.0,,,,,,,,960.0,0.01,4m,2.5,1.5,1.3,260.0,,,,,,,,544,0.009000000000000001,1m,1.5,3.5,1.3,326,844.0,0.01,4m,3.5,4.0,1.9000000000000001,582.0,352.0,0.007,2m,1.0,3.5,1.3,856.0,,,,,,,,,,,,,,,,,,,,,,0.05,5,COMPLETE
4,4,3.5064058551462773,2025-06-15 01:24:03.072033,2025-06-15 01:24:05.063660,0 days 00:00:01.991627,886.0,0.003,3m,3.5,2.5,1.1,452.0,,,,,,,,956.0,0.01,1m,1.5,1.5,1.9000000000000001,592.0,,,,,,,,974,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,702,56.0,0.007,4m,3.5,3.0,1.7000000000000002,226.0,754.0,0.009000000000000001,1m,2.5,3.0,1.1,992.0,,,,,,,,,,,,,,,,,,,,,,0.2,5,COMPLETE
5,5,3.1058780753959128,2025-06-15 01:24:05.124510,2025-06-15 01:24:08.529258,0 days 00:00:03.404748,32.0,0.006,1m,3.0,3.5,1.5,220.0,,,,,,,,604.0,0.006,1m,4.0,2.0,1.9000000000000001,106.0,304.0,0.007,4m,1.5,1.0,1.8,648.0,430,0.001,4m,2.5,4.0,0.8,278,218.0,0.004,2m,1.5,3.0,1.6,72.0,804.0,0.008,1m,2.5,3.5,0.6,550.0,370.0,0.007,1m,2.0,1.0,1.4,490.0,,,,,,,,974.0,0.008,4m,3.0,4.0,1.8,922.0,0.15000000000000002,8,COMPLETE
6,6,0.18514451696322687,2025-06-15 01:24:08.588266,2025-06-15 01:24:10.333928,0 days 00:00:01.745662,,,,,,,,,,,,,,,254.0,0.009000000000000001,2m,2.0,3.5,1.6,890.0,,,,,,,,264,0.008,1m,4.0,1.0,0.6,718,588.0,0.007,2m,2.5,2.5,0.8,598.0,56.0,0.009000000000000001,3m,2.5,1.5,1.1,276.0,,,,,,,,,,,,,,,,,,,,,,0.45,4,COMPLETE
7,7,6.288847639731769,2025-06-15 01:24:10.408358,2025-06-15 01:24:11.720164,0 days 00:00:01.311806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,952,0.004,3m,2.0,2.5,0.8,652,832.0,0.01,3m,3.5,2.5,1.5,514.0,948.0,0.008,2m,4.0,3.0,1.6,760.0,,,,,,,,,,,,,,,,,,,,,,0.1,3,COMPLETE
8,8,1.230542711127981,2025-06-15 01:24:11.769878,2025-06-15 01:24:14.559295,0 days 00:00:02.789417,574.0,0.009000000000000001,4m,2.0,1.5,1.2000000000000002,294.0,,,,,,,,142.0,0.007,1m,3.0,3.0,1.7000000000000002,862.0,370.0,0.006,3m,2.0,3.0,1.2000000000000002,674.0,186,0.009000000000000001,3m,3.0,3.0,1.2000000000000002,68,172.0,0.001,2m,2.5,4.0,1.8,892.0,150.0,0.002,2m,4.0,3.0,1.4,444.0,,,,,,,,,,,,,,,338.0,0.005,2m,1.5,3.0,1.4,492.0,0.05,7,COMPLETE
9,9,0.24290691388486696,2025-06-15 01:24:14.629031,2025-06-15 01:24:18.871945,0 days 00:00:04.242914,64.0,0.007,2m,3.0,1.0,1.9000000000000001,316.0,432.0,0.007,4m,4.0,1.5,0.9,224.0,1012.0,0.004,4m,4.0,1.5,0.5,248.0,612.0,0.004,2m,1.0,1.5,1.6,82.0,90,0.004,2m,4.0,1.5,0.9,844,698.0,0.01,4m,2.5,3.5,0.8,766.0,1010.0,0.007,3m,4.0,1.5,0.8,766.0,552.0,0.003,1m,2.0,3.5,0.7,384.0,678.0,0.01,4m,4.0,4.0,2.0,420.0,410.0,0.006,4m,1.0,3.5,1.7000000000000002,748.0,0.45,10,COMPLETE
10,10,3.2737037710264927,2025-06-15 01:24:18.944011,2025-06-15 01:24:19.495499,0 days 00:00:00.551488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,988,0.004,3m,2.5,3.0,1.6,1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
11,11,-2.6167831379693474,2025-06-15 01:24:19.548954,2025-06-15 01:24:22.289728,0 days 00:00:02.740774,996.0,0.001,3m,4.0,2.5,0.8,728.0,,,,,,,,684.0,0.002,3m,1.0,1.0,2.0,614.0,,,,,,,,1020,0.006,4m,1.5,2.5,1.9000000000000001,650,414.0,0.007,3m,4.0,1.5,1.4,282.0,688.0,0.01,1m,3.5,2.5,1.7000000000000002,1010.0,,,,,,,,,,,,,,,48.0,0.01,1m,4.0,1.5,0.5,76.0,0.15000000000000002,6,COMPLETE
12,12,3.504106100748009,2025-06-15 01:24:22.351782,2025-06-15 01:24:22.975050,0 days 00:00:00.623268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,778,0.006,4m,2.0,2.5,1.0,578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
13,13,0.2525647054620367,2025-06-15 01:24:23.025693,2025-06-15 01:24:24.706725,0 days 00:00:01.681032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,0.002,3m,1.0,2.0,1.6,818,22.0,0.008,4m,4.0,2.0,1.1,192.0,790.0,0.004,2m,3.5,4.0,1.6,1022.0,,,,,,,,,,,,,,,,,,,,,,0.1,3,COMPLETE
14,14,-1.2526126591653006,2025-06-15 01:24:24.782455,2025-06-15 01:24:28.929390,0 days 00:00:04.146935,1014.0,0.003,3m,4.0,2.5,1.1,622.0,,,,,,,,784.0,0.008,1m,1.0,2.5,1.2000000000000002,584.0,,,,,,,,806,0.003,3m,2.0,2.0,1.6,486,418.0,0.005,1m,3.5,1.0,1.6,404.0,816.0,0.01,4m,1.5,2.5,1.6,746.0,,,,,,,,,,,,,,,,,,,,,,0.25,5,COMPLETE
15,15,3.61901938721596,2025-06-15 01:24:29.019939,2025-06-15 01:24:30.749325,0 days 00:00:01.729386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646,0.005,4m,2.0,3.0,2.0,980,644.0,0.006,3m,3.5,2.0,1.6,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
16,16,-0.9641100155945621,2025-06-15 01:24:30.840426,2025-06-15 01:24:32.512502,0 days 00:00:01.672076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,614,0.005,2m,2.0,3.0,1.1,942,694.0,0.002,3m,3.0,2.0,1.1,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
17,17,3.369667951530273,2025-06-15 01:24:32.618347,2025-06-15 01:24:33.955631,0 days 00:00:01.337284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,670,0.005,1m,3.0,3.5,0.7,850,758.0,0.005,3m,3.0,2.0,1.5,428.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
18,18,7.046785765021952,2025-06-15 01:24:34.014800,2025-06-15 01:24:35.828325,0 days 00:00:01.813525,,,,,,,,,,,,,,,404.0,0.001,3m,3.5,4.0,1.0,1010.0,,,,,,,,884,0.007,4m,3.0,3.5,1.4,944,544.0,0.009000000000000001,3m,4.0,1.5,1.1,758.0,418.0,0.005,2m,3.5,1.0,2.0,132.0,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,4,COMPLETE
19,19,2.3442713673346445,2025-06-15 01:24:35.872996,2025-06-15 01:24:37.727240,0 days 00:00:01.854244,,,,,,,,,,,,,,,382.0,0.001,3m,3.5,4.0,1.0,968.0,,,,,,,,862,0.007,3m,3.0,4.0,1.4,796,486.0,0.009000000000000001,3m,4.0,1.0,0.5,804.0,432.0,0.004,2m,3.5,1.0,2.0,78.0,,,,,,,,,,,,,,,,,,,,,,0.4,4,COMPLETE
20,20,5.108397786050266,2025-06-15 01:24:37.810968,2025-06-15 01:24:40.778959,0 days 00:00:02.967991,642.0,0.01,1m,1.0,1.5,2.0,972.0,,,,,,,,446.0,0.003,3m,3.0,4.0,0.5,748.0,,,,,,,,892,0.007,4m,2.5,3.5,1.0,414,1004.0,0.009000000000000001,3m,4.0,1.5,1.1,1008.0,284.0,0.004,2m,3.0,1.0,1.9000000000000001,48.0,,,,,,,,,,,,,,,668.0,0.001,3m,4.0,2.0,0.6,84.0,0.4,6,COMPLETE
21,21,3.6731961686726264,2025-06-15 01:24:40.833837,2025-06-15 01:24:43.526435,0 days 00:00:02.692598,622.0,0.01,1m,1.0,1.5,2.0,994.0,,,,,,,,434.0,0.003,3m,3.0,4.0,0.5,760.0,,,,,,,,892,0.007,4m,2.5,3.5,0.9,434,1024.0,0.009000000000000001,3m,4.0,1.5,1.1,1002.0,272.0,0.004,2m,3.0,1.0,1.8,22.0,,,,,,,,,,,,,,,696.0,0.001,3m,4.0,2.0,0.5,54.0,0.4,6,COMPLETE
22,22,0.8696005492281731,2025-06-15 01:24:43.574580,2025-06-15 01:24:46.821478,0 days 00:00:03.246898,358.0,0.008,1m,1.5,1.5,1.6,772.0,,,,,,,,322.0,0.001,3m,3.5,3.5,0.8,1016.0,28.0,0.001,1m,4.0,4.0,0.6,1024.0,898,0.007,4m,3.5,3.5,1.1,408,902.0,0.01,3m,4.0,1.5,1.2000000000000002,864.0,508.0,0.005,2m,3.0,1.5,1.9000000000000001,168.0,,,,,,,,,,,,,,,664.0,0.001,3m,3.0,2.5,0.8,268.0,0.35000000000000003,7,COMPLETE
23,23,1.4849689053844404,2025-06-15 01:24:46.884983,2025-06-15 01:24:48.843349,0 days 00:00:01.958366,,,,,,,,,,,,,,,498.0,0.003,3m,2.5,3.0,0.7,762.0,,,,,,,,714,0.004,4m,2.5,4.0,0.8,156,814.0,0.008,3m,3.5,2.5,0.9,676.0,274.0,0.005,2m,4.0,1.0,1.5,180.0,,,,,,,,,,,,,,,,,,,,,,0.4,4,COMPLETE
24,24,-0.3860985173542742,2025-06-15 01:24:48.918684,2025-06-15 01:24:52.003216,0 days 00:00:03.084532,754.0,0.01,2m,2.0,1.0,0.5,26.0,,,,,,,,212.0,0.003,3m,3.5,4.0,1.1,420.0,994.0,0.01,2m,3.5,4.0,2.0,20.0,910,0.01,4m,3.0,2.5,1.5,588,968.0,0.008,1m,3.0,1.0,1.3,506.0,610.0,0.003,2m,3.0,2.0,1.8,296.0,,,,,,,,,,,,,,,664.0,0.004,2m,2.0,2.0,1.0,656.0,0.5,7,COMPLETE
25,25,4.075961172990686,2025-06-15 01:24:52.063175,2025-06-15 01:24:54.016637,0 days 00:00:01.953462,,,,,,,,,,,,,,,598.0,0.001,3m,2.0,3.0,1.4,756.0,,,,,,,,736,0.006,3m,2.5,3.0,1.1,230,564.0,0.009000000000000001,3m,4.0,1.5,1.0,730.0,420.0,0.006,2m,3.5,1.5,1.8,136.0,,,,,,,,,,,,,,,,,,,,,,0.25,4,COMPLETE
26,26,-7.591799840660985,2025-06-15 01:24:54.095515,2025-06-15 01:24:57.086217,0 days 00:00:02.990702,276.0,0.008,1m,1.5,2.0,1.8,822.0,,,,,,,,774.0,0.005,3m,3.5,4.0,0.9,876.0,,,,,,,,940,0.003,2m,3.5,3.5,0.7,930,332.0,0.01,3m,2.0,2.5,1.4,1010.0,182.0,0.003,2m,4.0,2.0,2.0,656.0,,,,,,,,,,,,,,,186.0,0.003,1m,3.5,1.0,0.9,252.0,0.45,6,COMPLETE
27,27,-1.200005565889788,2025-06-15 01:24:57.156192,2025-06-15 01:24:58.477393,0 days 00:00:01.321201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,552,0.008,1m,2.0,4.0,1.0,388,786.0,0.008,3m,3.5,1.5,1.2000000000000002,622.0,318.0,0.001,4m,3.0,1.0,1.6,278.0,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,3,COMPLETE
28,28,1.0476581568025654,2025-06-15 01:24:58.538304,2025-06-15 01:25:02.327598,0 days 00:00:03.789294,736.0,0.005,1m,1.5,3.0,1.4,540.0,,,,,,,,486.0,0.002,2m,2.5,2.5,0.6,440.0,992.0,0.001,3m,3.0,2.5,1.2000000000000002,296.0,842,0.007,4m,3.0,2.5,1.4,570,936.0,0.009000000000000001,3m,4.0,1.0,1.0,824.0,428.0,0.007,2m,3.5,2.0,1.8,36.0,990.0,0.01,3m,4.0,4.0,2.0,98.0,,,,,,,,508.0,0.007,3m,3.5,2.5,2.0,480.0,0.1,8,COMPLETE
29,29,-5.456554378834977,2025-06-15 01:25:02.390276,2025-06-15 01:25:04.844355,0 days 00:00:02.454079,230.0,0.005,2m,2.5,2.0,1.8,896.0,,,,,,,,340.0,0.004,4m,4.0,3.5,1.5,696.0,,,,,,,,414,0.01,3m,3.5,3.0,1.3,504,728.0,0.006,1m,3.5,2.5,1.4,934.0,184.0,0.005,2m,4.0,2.5,1.4,882.0,,,,,,,,,,,,,,,,,,,,,,0.4,5,COMPLETE
30,30,-2.9087997354424013,2025-06-15 01:25:04.918200,2025-06-15 01:25:06.842876,0 days 00:00:01.924676,,,,,,,,,,,,,,,578.0,0.002,3m,3.0,3.0,1.0,950.0,,,,,,,,952,0.003,3m,2.5,3.5,0.5,730,490.0,0.01,2m,3.0,2.0,0.5,522.0,914.0,0.006,2m,2.0,4.0,1.9000000000000001,354.0,,,,,,,,,,,,,,,,,,,,,,0.5,4,COMPLETE
31,31,1.326867506118638,2025-06-15 01:25:06.900276,2025-06-15 01:25:08.775396,0 days 00:00:01.875120,,,,,,,,,,,,,,,620.0,0.001,3m,2.0,3.0,1.2000000000000002,744.0,,,,,,,,730,0.006,3m,2.5,3.0,1.1,212,570.0,0.009000000000000001,3m,4.0,1.5,1.0,748.0,434.0,0.006,2m,3.5,1.5,1.7000000000000002,136.0,,,,,,,,,,,,,,,,,,,,,,0.25,4,COMPLETE
32,32,4.652976327374079,2025-06-15 01:25:08.840290,2025-06-15 01:25:10.454984,0 days 00:00:01.614694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740,0.006,3m,2.5,2.5,1.2000000000000002,178,882.0,0.009000000000000001,3m,4.0,1.5,1.0,482.0,504.0,0.004,2m,3.5,1.0,1.8,122.0,,,,,,,,,,,,,,,,,,,,,,0.25,3,COMPLETE
33,33,6.216439947298992,2025-06-15 01:25:10.520261,2025-06-15 01:25:12.071215,0 days 00:00:01.550954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,842,0.008,3m,3.0,2.5,1.2000000000000002,128,870.0,0.008,3m,4.0,1.0,1.2000000000000002,478.0,516.0,0.003,2m,3.0,1.0,1.9000000000000001,214.0,,,,,,,,,,,,,,,,,,,,,,0.3,3,COMPLETE
34,34,-2.6728699599746317,2025-06-15 01:25:12.151026,2025-06-15 01:25:13.264092,0 days 00:00:01.113066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,824,0.008,3m,3.0,2.5,1.4,22,1024.0,0.008,3m,3.5,1.0,1.3,340.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
35,35,0.025606122908777285,2025-06-15 01:25:13.317620,2025-06-15 01:25:14.727904,0 days 00:00:01.410284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,966,0.008,4m,3.5,2.0,0.9,348,860.0,0.01,3m,1.0,3.5,1.2000000000000002,648.0,630.0,0.002,2m,3.0,1.0,2.0,174.0,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,3,COMPLETE
36,36,3.975936868614397,2025-06-15 01:25:14.774396,2025-06-15 01:25:17.387926,0 days 00:00:02.613530,476.0,0.001,4m,1.0,2.0,1.3,656.0,,,,,,,,118.0,0.004,2m,3.5,4.0,0.7,468.0,,,,,,,,852,0.007,2m,1.5,1.5,1.0,100,948.0,0.008,3m,4.0,1.0,2.0,526.0,362.0,0.003,2m,3.0,1.5,1.9000000000000001,228.0,,,,,,,,,,,,,,,,,,,,,,0.3,5,COMPLETE
37,37,-2.217613247707574,2025-06-15 01:25:17.448970,2025-06-15 01:25:18.972068,0 days 00:00:01.523098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,0.009000000000000001,1m,3.0,2.5,1.2000000000000002,648,638.0,0.007,1m,3.5,1.0,1.5,450.0,538.0,0.001,4m,2.0,1.0,1.7000000000000002,482.0,,,,,,,,,,,,,,,,,,,,,,0.2,3,COMPLETE
38,38,-0.007134199653943702,2025-06-15 01:25:19.025085,2025-06-15 01:25:21.479350,0 days 00:00:02.454265,680.0,0.008,1m,2.0,1.0,0.9,482.0,,,,,,,,740.0,0.006,4m,3.0,2.0,0.9,876.0,,,,,,,,910,0.008,4m,2.0,2.0,0.7,282,812.0,0.009000000000000001,3m,4.0,2.0,0.8,352.0,690.0,0.003,3m,3.0,3.0,1.9000000000000001,668.0,,,,,,,,,,,,,,,,,,,,,,0.1,5,COMPLETE
39,39,4.4232047130769985,2025-06-15 01:25:21.548569,2025-06-15 01:25:25.471305,0 days 00:00:03.922736,826.0,0.01,1m,3.0,3.0,1.7000000000000002,876.0,,,,,,,,274.0,0.002,3m,4.0,3.5,0.6,646.0,70.0,0.009000000000000001,1m,3.0,1.5,0.9,1022.0,430,0.001,3m,4.0,1.0,1.8,894,910.0,0.01,4m,3.5,3.5,1.5,596.0,272.0,0.005,1m,4.0,1.5,1.5,92.0,16.0,0.006,2m,1.0,2.5,2.0,992.0,,,,,,,,878.0,0.002,3m,2.5,3.0,1.1,946.0,0.15000000000000002,8,COMPLETE
40,40,-5.391850947733674,2025-06-15 01:25:25.546281,2025-06-15 01:25:26.722569,0 days 00:00:01.176288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1020,0.005,4m,3.5,3.5,0.8,766,852.0,0.004,2m,2.0,3.0,1.3,562.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,2,COMPLETE
41,41,-0.7261539744799173,2025-06-15 01:25:26.780645,2025-06-15 01:25:28.065236,0 days 00:00:01.284591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,756,0.006,3m,2.5,2.5,1.2000000000000002,130,900.0,0.009000000000000001,3m,4.0,1.5,0.9,478.0,504.0,0.004,2m,3.5,1.0,1.9000000000000001,74.0,,,,,,,,,,,,,,,,,,,,,,0.25,3,COMPLETE
42,42,1.8187539798350019,2025-06-15 01:25:28.122973,2025-06-15 01:25:29.634787,0 days 00:00:01.511814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,696,0.007,3m,3.0,2.5,1.3,212,996.0,0.009000000000000001,3m,4.0,1.5,1.1,364.0,474.0,0.004,2m,3.5,1.0,1.7000000000000002,222.0,,,,,,,,,,,,,,,,,,,,,,0.05,3,COMPLETE
43,43,1.882900223842418,2025-06-15 01:25:29.713442,2025-06-15 01:25:30.381849,0 days 00:00:00.668407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590,0.004,3m,2.5,3.0,1.2000000000000002,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
44,44,8.244900570470538,2025-06-15 01:25:30.443534,2025-06-15 01:25:32.592573,0 days 00:00:02.149039,,,,,,,,,,,,,,,836.0,0.003,3m,2.5,4.0,1.1,1024.0,,,,,,,,492,0.006,3m,1.5,2.0,1.0,186,858.0,0.01,3m,3.5,1.5,0.9,556.0,608.0,0.003,2m,3.5,1.0,2.0,380.0,,,,,,,,,,,,,,,,,,,,,,0.4,4,COMPLETE
45,45,-2.463573429377593,2025-06-15 01:25:32.656723,2025-06-15 01:25:35.675194,0 days 00:00:03.018471,896.0,0.004,2m,1.5,1.5,0.5,402.0,,,,,,,,854.0,0.003,3m,2.5,4.0,1.1,1024.0,,,,,,,,336,0.008,3m,1.0,1.5,0.6,78,790.0,0.01,3m,3.5,1.0,0.7,690.0,892.0,0.002,2m,2.5,3.5,2.0,382.0,,,,,,,,,,,,,,,796.0,0.01,1m,3.5,1.5,0.7,16.0,0.4,6,COMPLETE
46,46,-0.10387968244413882,2025-06-15 01:25:35.756464,2025-06-15 01:25:37.658439,0 days 00:00:01.901975,,,,,,,,,,,,,,,412.0,0.004,3m,1.5,3.5,1.4,810.0,,,,,,,,392,0.009000000000000001,3m,1.5,2.0,0.9,446,970.0,0.01,4m,3.0,2.5,0.9,274.0,386.0,0.003,2m,3.0,2.0,2.0,548.0,,,,,,,,,,,,,,,,,,,,,,0.45,4,COMPLETE
47,47,-7.487605832817691,2025-06-15 01:25:37.723994,2025-06-15 01:25:40.167878,0 days 00:00:02.443884,544.0,0.007,4m,3.5,3.0,2.0,648.0,,,,,,,,862.0,0.002,3m,2.5,4.0,1.0,928.0,,,,,,,,500,0.002,2m,1.5,2.0,1.0,346,258.0,0.007,3m,2.5,2.0,0.7,946.0,586.0,0.008,3m,4.0,1.0,1.9000000000000001,316.0,,,,,,,,,,,,,,,,,,,,,,0.4,5,COMPLETE
48,48,-0.4489109808453037,2025-06-15 01:25:40.250916,2025-06-15 01:25:42.417778,0 days 00:00:02.166862,,,,,,,,,,,,,,,42.0,0.005,2m,3.0,3.5,0.7,822.0,,,,,,,,470,0.005,4m,2.0,2.0,0.8,664,712.0,0.01,2m,3.5,1.5,1.7000000000000002,550.0,944.0,0.003,1m,3.5,3.0,1.2000000000000002,414.0,,,,,,,,,,,,,,,,,,,,,,0.45,4,COMPLETE
49,49,0.39448735854460354,2025-06-15 01:25:42.483132,2025-06-15 01:25:43.557394,0 days 00:00:01.074262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,0.007,1m,1.5,4.0,1.5,122,626.0,0.008,3m,3.0,1.0,1.2000000000000002,136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
50,50,0.44247759096859957,2025-06-15 01:25:43.623650,2025-06-15 01:25:45.893749,0 days 00:00:02.270099,380.0,0.009000000000000001,1m,2.0,4.0,1.0,574.0,,,,,,,,514.0,0.003,3m,3.0,3.5,0.9,370.0,,,,,,,,88,0.008,3m,1.0,1.5,1.0,540,748.0,0.007,3m,4.0,2.0,1.1,900.0,42.0,0.005,2m,3.0,1.5,2.0,916.0,,,,,,,,,,,,,,,,,,,,,,0.3,5,COMPLETE
51,51,3.1913183750645664,2025-06-15 01:25:45.944972,2025-06-15 01:25:47.550005,0 days 00:00:01.605033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,788,0.006,3m,2.0,2.5,1.1,182,870.0,0.009000000000000001,3m,4.0,1.5,1.0,446.0,660.0,0.004,2m,3.5,1.0,1.8,222.0,,,,,,,,,,,,,,,,,,,,,,0.2,3,COMPLETE
52,52,-1.565267901579405,2025-06-15 01:25:47.604885,2025-06-15 01:25:49.204879,0 days 00:00:01.599994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,932,0.006,3m,2.5,2.5,1.2000000000000002,244,926.0,0.009000000000000001,3m,3.5,1.5,0.9,494.0,560.0,0.004,2m,3.5,1.0,1.8,114.0,,,,,,,,,,,,,,,,,,,,,,0.3,3,COMPLETE
53,53,2.859499597957686,2025-06-15 01:25:49.283953,2025-06-15 01:25:51.300355,0 days 00:00:02.016402,,,,,,,,,,,,,,,682.0,0.005,4m,2.0,4.0,0.8,516.0,,,,,,,,872,0.007,3m,3.0,3.0,1.3,170,832.0,0.01,3m,4.0,1.5,1.0,394.0,480.0,0.002,2m,4.0,1.0,1.9000000000000001,16.0,,,,,,,,,,,,,,,,,,,,,,0.4,4,COMPLETE
54,54,6.246016240511871,2025-06-15 01:25:51.361945,2025-06-15 01:25:52.420500,0 days 00:00:01.058555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,808,0.005,3m,2.5,2.5,0.9,300,772.0,0.008,3m,4.0,3.0,0.8,618.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,2,COMPLETE
