,number,value,datetime_start,datetime_complete,duration,params_ADP_FOX_beta_win,params_ADP_FOX_stop_loss,params_ADP_FOX_trade_freq,params_ADP_FOX_z_entry,params_ADP_FOX_z_exit,params_ADP_FOX_z_stop_scaler,params_ADP_FOX_z_win,params_AMD_PCAR_beta_win,params_AMD_PCAR_stop_loss,params_AMD_PCAR_trade_freq,params_AMD_PCAR_z_entry,params_AMD_PCAR_z_exit,params_AMD_PCAR_z_stop_scaler,params_AMD_PCAR_z_win,params_CHKP_FOXA_beta_win,params_CHKP_FOXA_stop_loss,params_CHKP_FOXA_trade_freq,params_CHKP_FOXA_z_entry,params_CHKP_FOXA_z_exit,params_CHKP_FOXA_z_stop_scaler,params_CHKP_FOXA_z_win,params_CMCSA_FOX_beta_win,params_CMCSA_FOX_stop_loss,params_CMCSA_FOX_trade_freq,params_CMCSA_FOX_z_entry,params_CMCSA_FOX_z_exit,params_CMCSA_FOX_z_stop_scaler,params_CMCSA_FOX_z_win,params_CMCSA_MAR_beta_win,params_CMCSA_MAR_stop_loss,params_CMCSA_MAR_trade_freq,params_CMCSA_MAR_z_entry,params_CMCSA_MAR_z_exit,params_CMCSA_MAR_z_stop_scaler,params_CMCSA_MAR_z_win,params_EA_FOXA_beta_win,params_EA_FOXA_stop_loss,params_EA_FOXA_trade_freq,params_EA_FOXA_z_entry,params_EA_FOXA_z_exit,params_EA_FOXA_z_stop_scaler,params_EA_FOXA_z_win,params_PTON_FOXA_beta_win,params_PTON_FOXA_stop_loss,params_PTON_FOXA_trade_freq,params_PTON_FOXA_z_entry,params_PTON_FOXA_z_exit,params_PTON_FOXA_z_stop_scaler,params_PTON_FOXA_z_win,params_QCOM_FOXA_beta_win,params_QCOM_FOXA_stop_loss,params_QCOM_FOXA_trade_freq,params_QCOM_FOXA_z_entry,params_QCOM_FOXA_z_exit,params_QCOM_FOXA_z_stop_scaler,params_QCOM_FOXA_z_win,params_QCOM_FOX_beta_win,params_QCOM_FOX_stop_loss,params_QCOM_FOX_trade_freq,params_QCOM_FOX_z_entry,params_QCOM_FOX_z_exit,params_QCOM_FOX_z_stop_scaler,params_QCOM_FOX_z_win,params_SBUX_FOXA_beta_win,params_SBUX_FOXA_stop_loss,params_SBUX_FOXA_trade_freq,params_SBUX_FOXA_z_entry,params_SBUX_FOXA_z_exit,params_SBUX_FOXA_z_stop_scaler,params_SBUX_FOXA_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,4.370865433449482,2025-06-15 00:27:29.845126,2025-06-15 00:27:31.253878,0 days 00:00:01.408752,,,,,,,,,,,,,,,,,,,,,,1000.0,0.002,1m,2.5,2.0,0.6,468.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,876.0,0.003,3m,1.0,3.0,1.3,394.0,342,0.009000000000000001,3m,3.5,2.0,1.3,502,0.5,3,COMPLETE
1,1,8.621738167688088,2025-06-15 00:27:31.341883,2025-06-15 00:27:32.768921,0 days 00:00:01.427038,,,,,,,,,,,,,,,,,,,,,,984.0,0.006,3m,2.5,3.0,1.0,592.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.0,0.009000000000000001,1m,3.0,3.0,1.9000000000000001,948.0,324,0.009000000000000001,2m,4.0,1.5,1.9000000000000001,320,0.3,3,COMPLETE
2,2,4.902190508437098,2025-06-15 00:27:32.825923,2025-06-15 00:27:36.823625,0 days 00:00:03.997702,110.0,0.003,4m,1.0,4.0,1.6,146.0,,,,,,,,652.0,0.001,4m,3.0,1.5,0.5,828.0,572.0,0.008,4m,1.5,3.5,2.0,386.0,920.0,0.003,3m,2.5,1.0,1.3,360.0,670.0,0.006,4m,2.0,2.5,0.8,548.0,76.0,0.001,3m,2.5,2.5,0.6,388.0,34.0,0.005,2m,3.0,3.5,0.8,230.0,978.0,0.007,3m,1.5,4.0,0.7,698.0,270,0.008,4m,1.0,1.5,0.5,50,0.2,9,COMPLETE
3,3,2.9182179099093726,2025-06-15 00:27:36.882992,2025-06-15 00:27:39.063891,0 days 00:00:02.180899,434.0,0.006,3m,2.5,3.5,0.7,974.0,,,,,,,,,,,,,,,352.0,0.007,2m,1.0,3.5,1.3,856.0,,,,,,,,,,,,,,,,,,,,,,960.0,0.01,4m,2.5,1.5,1.3,260.0,844.0,0.01,4m,3.5,4.0,1.9000000000000001,582.0,544,0.009000000000000001,1m,1.5,3.5,1.3,326,0.05,5,COMPLETE
4,4,-1.6341135519068215,2025-06-15 00:27:39.127893,2025-06-15 00:27:41.461105,0 days 00:00:02.333212,886.0,0.003,3m,3.5,2.5,1.1,452.0,,,,,,,,,,,,,,,754.0,0.009000000000000001,1m,2.5,3.0,1.1,992.0,,,,,,,,,,,,,,,,,,,,,,956.0,0.01,1m,1.5,1.5,1.9000000000000001,592.0,56.0,0.007,4m,3.5,3.0,1.7000000000000002,226.0,974,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,702,0.2,5,COMPLETE
5,5,-2.532542153413535,2025-06-15 00:27:41.519105,2025-06-15 00:27:45.237636,0 days 00:00:03.718531,32.0,0.006,1m,3.0,3.5,1.5,220.0,,,,,,,,370.0,0.007,1m,2.0,1.0,1.4,490.0,804.0,0.008,1m,2.5,3.5,0.6,550.0,974.0,0.008,4m,3.0,4.0,1.8,922.0,304.0,0.007,4m,1.5,1.0,1.8,648.0,,,,,,,,604.0,0.006,1m,4.0,2.0,1.9000000000000001,106.0,218.0,0.004,2m,1.5,3.0,1.6,72.0,430,0.001,4m,2.5,4.0,0.8,278,0.15000000000000002,8,COMPLETE
6,6,5.319415717821906,2025-06-15 00:27:45.320147,2025-06-15 00:27:47.096280,0 days 00:00:01.776133,,,,,,,,,,,,,,,,,,,,,,56.0,0.009000000000000001,3m,2.5,1.5,1.1,276.0,,,,,,,,,,,,,,,,,,,,,,254.0,0.009000000000000001,2m,2.0,3.5,1.6,890.0,588.0,0.007,2m,2.5,2.5,0.8,598.0,264,0.008,1m,4.0,1.0,0.6,718,0.45,4,COMPLETE
7,7,-3.5339516405919857,2025-06-15 00:27:47.172792,2025-06-15 00:27:48.582042,0 days 00:00:01.409250,,,,,,,,,,,,,,,,,,,,,,948.0,0.008,2m,4.0,3.0,1.6,760.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,832.0,0.01,3m,3.5,2.5,1.5,514.0,952,0.004,3m,2.0,2.5,0.8,652,0.1,3,COMPLETE
8,8,0.044106690607159285,2025-06-15 00:27:48.657562,2025-06-15 00:27:51.818245,0 days 00:00:03.160683,574.0,0.009000000000000001,4m,2.0,1.5,1.2000000000000002,294.0,,,,,,,,,,,,,,,150.0,0.002,2m,4.0,3.0,1.4,444.0,338.0,0.005,2m,1.5,3.0,1.4,492.0,370.0,0.006,3m,2.0,3.0,1.2000000000000002,674.0,,,,,,,,142.0,0.007,1m,3.0,3.0,1.7000000000000002,862.0,172.0,0.001,2m,2.5,4.0,1.8,892.0,186,0.009000000000000001,3m,3.0,3.0,1.2000000000000002,68,0.05,7,COMPLETE
9,9,-5.310905014174284,2025-06-15 00:27:51.890759,2025-06-15 00:27:56.380627,0 days 00:00:04.489868,64.0,0.007,2m,3.0,1.0,1.9000000000000001,316.0,432.0,0.007,4m,4.0,1.5,0.9,224.0,552.0,0.003,1m,2.0,3.5,0.7,384.0,1010.0,0.007,3m,4.0,1.5,0.8,766.0,410.0,0.006,4m,1.0,3.5,1.7000000000000002,748.0,612.0,0.004,2m,1.0,1.5,1.6,82.0,678.0,0.01,4m,4.0,4.0,2.0,420.0,1012.0,0.004,4m,4.0,1.5,0.5,248.0,698.0,0.01,4m,2.5,3.5,0.8,766.0,90,0.004,2m,4.0,1.5,0.9,844,0.45,10,COMPLETE
10,10,-100.0,2025-06-15 00:27:56.475657,2025-06-15 00:27:57.301907,0 days 00:00:00.826250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640,0.006,2m,3.0,1.0,2.0,966,0.35000000000000003,1,COMPLETE
11,11,3.2870356490753743,2025-06-15 00:27:57.402444,2025-06-15 00:27:58.839526,0 days 00:00:01.437082,,,,,,,,,,,,,,,,,,,,,,30.0,0.005,3m,3.0,1.0,1.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446.0,0.007,1m,2.5,1.5,1.1,908.0,68,0.007,1m,4.0,1.0,1.7000000000000002,488,0.35000000000000003,3,COMPLETE
12,12,5.767895775074308,2025-06-15 00:27:58.921828,2025-06-15 00:27:59.599954,0 days 00:00:00.678126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646,0.01,2m,4.0,1.0,1.6,298,0.35000000000000003,1,COMPLETE
13,13,1.022776864996343,2025-06-15 00:27:59.675472,2025-06-15 00:28:00.381588,0 days 00:00:00.706116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,728,0.01,2m,3.5,1.5,1.6,270,0.3,1,COMPLETE
14,14,1.9861697511609657,2025-06-15 00:28:00.444106,2025-06-15 00:28:01.123267,0 days 00:00:00.679161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,790,0.01,2m,3.5,2.0,1.6,384,0.3,1,COMPLETE
15,15,-0.06846560439014436,2025-06-15 00:28:01.205781,2025-06-15 00:28:02.293480,0 days 00:00:01.087699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342.0,0.005,1m,4.0,1.5,2.0,984.0,492,0.006,2m,3.0,2.5,1.8,174,0.4,2,COMPLETE
16,16,2.1857876916237657,2025-06-15 00:28:02.364987,2025-06-15 00:28:05.415491,0 days 00:00:03.050504,1006.0,0.001,1m,4.0,2.0,0.6,856.0,,,,,,,,,,,,,,,546.0,0.004,4m,1.5,4.0,1.7000000000000002,162.0,70.0,0.001,1m,4.0,1.5,0.5,98.0,,,,,,,,,,,,,,,526.0,0.001,3m,1.0,4.0,1.0,578.0,38.0,0.008,1m,3.0,1.0,1.1,370.0,624,0.004,2m,4.0,1.5,1.5,160,0.25,6,COMPLETE
17,17,0.4742057761990252,2025-06-15 00:28:05.496514,2025-06-15 00:28:06.703746,0 days 00:00:01.207232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.0,0.009000000000000001,1m,2.0,2.0,0.5,774.0,842,0.007,2m,2.5,1.0,2.0,446,0.35000000000000003,2,COMPLETE
18,18,3.506846543298234,2025-06-15 00:28:06.785256,2025-06-15 00:28:08.724154,0 days 00:00:01.938898,,,,,,,,,,,,,,,,,,,,,,324.0,0.004,3m,3.0,2.5,0.8,630.0,,,,,,,,,,,,,,,,,,,,,,726.0,0.001,3m,1.0,2.5,1.3,1024.0,580.0,0.001,1m,3.0,2.0,1.3,58.0,404,0.001,2m,3.5,2.0,1.4,582,0.25,4,COMPLETE
19,19,-3.2790442801552087,2025-06-15 00:28:08.785667,2025-06-15 00:28:09.955892,0 days 00:00:01.170225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430.0,0.005,1m,4.0,3.5,1.5,1022.0,580,0.01,2m,3.0,3.0,1.1,168,0.4,2,COMPLETE
20,20,5.693764223773949,2025-06-15 00:28:10.028402,2025-06-15 00:28:12.128485,0 days 00:00:02.100083,,,,,,,,,,,,,,,,,,,,,,748.0,0.001,3m,1.5,2.5,2.0,1004.0,,,,,,,,,,,,,,,,,,,,,,330.0,0.003,4m,3.5,1.0,0.5,460.0,192.0,0.003,1m,3.0,3.5,2.0,434.0,704,0.008,2m,4.0,1.5,1.8,394,0.2,4,COMPLETE
21,21,8.233385510087647,2025-06-15 00:28:12.209001,2025-06-15 00:28:14.222846,0 days 00:00:02.013845,,,,,,,,,,,,,,,,,,,,,,788.0,0.001,3m,1.5,2.5,2.0,1024.0,,,,,,,,,,,,,,,,,,,,,,350.0,0.003,4m,3.5,1.0,0.5,490.0,194.0,0.003,1m,3.0,3.5,2.0,380.0,736,0.008,2m,4.0,1.5,1.8,382,0.2,4,COMPLETE
22,22,1.0582316449559757,2025-06-15 00:28:14.291356,2025-06-15 00:28:15.949549,0 days 00:00:01.658193,,,,,,,,,,,,,,,,,,,,,,854.0,0.005,3m,2.0,2.0,1.7000000000000002,654.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.0,0.003,1m,2.0,3.0,1.8,242.0,862,0.007,2m,3.5,1.0,1.8,254,0.3,3,COMPLETE
23,23,5.084391327839696,2025-06-15 00:28:16.009057,2025-06-15 00:28:19.012534,0 days 00:00:03.003477,652.0,0.01,2m,1.0,3.0,2.0,706.0,,,,,,,,,,,,,,,652.0,0.003,3m,1.0,2.0,1.5,874.0,694.0,0.01,1m,4.0,2.0,0.6,22.0,,,,,,,,,,,,,,,370.0,0.003,4m,3.0,1.0,0.9,434.0,114.0,0.002,1m,3.0,3.5,2.0,298.0,498,0.01,2m,4.0,1.5,1.6,368,0.15000000000000002,6,COMPLETE
24,24,-2.8001767975121217,2025-06-15 00:28:19.092046,2025-06-15 00:28:20.309257,0 days 00:00:01.217211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482.0,0.006,1m,2.0,2.5,1.7000000000000002,172.0,702,0.008,2m,3.5,2.0,1.9000000000000001,576,0.25,2,COMPLETE
25,25,0.01879789048705369,2025-06-15 00:28:20.384769,2025-06-15 00:28:22.393757,0 days 00:00:02.008988,,,,,,,,,,,,,,,,,,,,,,838.0,0.006,3m,2.0,4.0,0.9,304.0,,,,,,,,,,,,,,,,,,,,,,738.0,0.008,4m,3.5,2.5,0.7,694.0,382.0,0.004,3m,3.5,3.5,1.4,488.0,394,0.005,2m,4.0,1.0,1.5,212,0.4,4,COMPLETE
26,26,-100.0,2025-06-15 00:28:22.479794,2025-06-15 00:28:23.158491,0 days 00:00:00.678697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794,0.009000000000000001,4m,3.5,1.5,1.7000000000000002,416,0.15000000000000002,1,COMPLETE
