,number,value,datetime_start,datetime_complete,duration,params_ADI_ZM_beta_win,params_ADI_ZM_stop_loss,params_ADI_ZM_trade_freq,params_ADI_ZM_z_entry,params_ADI_ZM_z_exit,params_ADI_ZM_z_stop_scaler,params_ADI_ZM_z_win,params_ANSS_ZM_beta_win,params_ANSS_ZM_stop_loss,params_ANSS_ZM_trade_freq,params_ANSS_ZM_z_entry,params_ANSS_ZM_z_exit,params_ANSS_ZM_z_stop_scaler,params_ANSS_ZM_z_win,params_ASML_ZM_beta_win,params_ASML_ZM_stop_loss,params_ASML_ZM_trade_freq,params_ASML_ZM_z_entry,params_ASML_ZM_z_exit,params_ASML_ZM_z_stop_scaler,params_ASML_ZM_z_win,params_AZN_ZM_beta_win,params_AZN_ZM_stop_loss,params_AZN_ZM_trade_freq,params_AZN_ZM_z_entry,params_AZN_ZM_z_exit,params_AZN_ZM_z_stop_scaler,params_AZN_ZM_z_win,params_CDNS_ZM_beta_win,params_CDNS_ZM_stop_loss,params_CDNS_ZM_trade_freq,params_CDNS_ZM_z_entry,params_CDNS_ZM_z_exit,params_CDNS_ZM_z_stop_scaler,params_CDNS_ZM_z_win,params_CPRT_ZM_beta_win,params_CPRT_ZM_stop_loss,params_CPRT_ZM_trade_freq,params_CPRT_ZM_z_entry,params_CPRT_ZM_z_exit,params_CPRT_ZM_z_stop_scaler,params_CPRT_ZM_z_win,params_MDLZ_ZM_beta_win,params_MDLZ_ZM_stop_loss,params_MDLZ_ZM_trade_freq,params_MDLZ_ZM_z_entry,params_MDLZ_ZM_z_exit,params_MDLZ_ZM_z_stop_scaler,params_MDLZ_ZM_z_win,params_MNST_ZM_beta_win,params_MNST_ZM_stop_loss,params_MNST_ZM_trade_freq,params_MNST_ZM_z_entry,params_MNST_ZM_z_exit,params_MNST_ZM_z_stop_scaler,params_MNST_ZM_z_win,params_MSFT_ZM_beta_win,params_MSFT_ZM_stop_loss,params_MSFT_ZM_trade_freq,params_MSFT_ZM_z_entry,params_MSFT_ZM_z_exit,params_MSFT_ZM_z_stop_scaler,params_MSFT_ZM_z_win,params_SGEN_ZM_beta_win,params_SGEN_ZM_stop_loss,params_SGEN_ZM_trade_freq,params_SGEN_ZM_z_entry,params_SGEN_ZM_z_exit,params_SGEN_ZM_z_stop_scaler,params_SGEN_ZM_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-2.142387195558658,2025-06-14 19:35:04.999782,2025-06-14 19:35:08.195697,0 days 00:00:03.195915,,,,,,,,,,,,,,,,,,,,,,876.0,0.003,3m,1.0,3.0,1.3,394.0,,,,,,,,,,,,,,,342,0.009000000000000001,3m,3.5,2.0,1.3,502,1000.0,0.002,1m,2.5,2.0,0.6,468.0,,,,,,,,,,,,,,,0.5,3,COMPLETE
1,1,1.5643893070675639,2025-06-14 19:35:08.279140,2025-06-14 19:35:11.447787,0 days 00:00:03.168647,,,,,,,,,,,,,,,,,,,,,,210.0,0.009000000000000001,1m,3.0,3.0,1.9000000000000001,948.0,,,,,,,,,,,,,,,324,0.009000000000000001,2m,4.0,1.5,1.9000000000000001,320,984.0,0.006,3m,2.5,3.0,1.0,592.0,,,,,,,,,,,,,,,0.3,3,COMPLETE
2,2,-7.6091242277470315,2025-06-14 19:35:11.557933,2025-06-14 19:35:19.874481,0 days 00:00:08.316548,34.0,0.005,2m,3.0,3.5,0.8,230.0,110.0,0.003,4m,1.0,4.0,1.6,146.0,76.0,0.001,3m,2.5,2.5,0.6,388.0,978.0,0.007,3m,1.5,4.0,0.7,698.0,652.0,0.001,4m,3.0,1.5,0.5,828.0,670.0,0.006,4m,2.0,2.5,0.8,548.0,270,0.008,4m,1.0,1.5,0.5,50,572.0,0.008,4m,1.5,3.5,2.0,386.0,,,,,,,,920.0,0.003,3m,2.5,1.0,1.3,360.0,0.2,9,COMPLETE
3,3,-1.1002825271712926,2025-06-14 19:35:19.932680,2025-06-14 19:35:24.455762,0 days 00:00:04.523082,960.0,0.01,4m,2.5,1.5,1.3,260.0,434.0,0.006,3m,2.5,3.5,0.7,974.0,,,,,,,,844.0,0.01,4m,3.5,4.0,1.9000000000000001,582.0,,,,,,,,,,,,,,,544,0.009000000000000001,1m,1.5,3.5,1.3,326,352.0,0.007,2m,1.0,3.5,1.3,856.0,,,,,,,,,,,,,,,0.05,5,COMPLETE
4,4,-2.8966877099629453,2025-06-14 19:35:24.526517,2025-06-14 19:35:28.949767,0 days 00:00:04.423250,956.0,0.01,1m,1.5,1.5,1.9000000000000001,592.0,886.0,0.003,3m,3.5,2.5,1.1,452.0,,,,,,,,56.0,0.007,4m,3.5,3.0,1.7000000000000002,226.0,,,,,,,,,,,,,,,974,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,702,754.0,0.009000000000000001,1m,2.5,3.0,1.1,992.0,,,,,,,,,,,,,,,0.2,5,COMPLETE
5,5,-3.417402919358963,2025-06-14 19:35:29.002772,2025-06-14 19:35:35.714994,0 days 00:00:06.712222,604.0,0.006,1m,4.0,2.0,1.9000000000000001,106.0,32.0,0.006,1m,3.0,3.5,1.5,220.0,,,,,,,,218.0,0.004,2m,1.5,3.0,1.6,72.0,370.0,0.007,1m,2.0,1.0,1.4,490.0,304.0,0.007,4m,1.5,1.0,1.8,648.0,430,0.001,4m,2.5,4.0,0.8,278,804.0,0.008,1m,2.5,3.5,0.6,550.0,,,,,,,,974.0,0.008,4m,3.0,4.0,1.8,922.0,0.15000000000000002,8,COMPLETE
6,6,-2.2012166007162333,2025-06-14 19:35:35.778427,2025-06-14 19:35:39.372927,0 days 00:00:03.594500,254.0,0.009000000000000001,2m,2.0,3.5,1.6,890.0,,,,,,,,,,,,,,,588.0,0.007,2m,2.5,2.5,0.8,598.0,,,,,,,,,,,,,,,264,0.008,1m,4.0,1.0,0.6,718,56.0,0.009000000000000001,3m,2.5,1.5,1.1,276.0,,,,,,,,,,,,,,,0.45,4,COMPLETE
7,7,-1.4272398176974952,2025-06-14 19:35:39.430510,2025-06-14 19:35:42.065637,0 days 00:00:02.635127,,,,,,,,,,,,,,,,,,,,,,832.0,0.01,3m,3.5,2.5,1.5,514.0,,,,,,,,,,,,,,,952,0.004,3m,2.0,2.5,0.8,652,948.0,0.008,2m,4.0,3.0,1.6,760.0,,,,,,,,,,,,,,,0.1,3,COMPLETE
8,8,-2.4301365480028685,2025-06-14 19:35:42.122819,2025-06-14 19:35:48.071435,0 days 00:00:05.948616,142.0,0.007,1m,3.0,3.0,1.7000000000000002,862.0,574.0,0.009000000000000001,4m,2.0,1.5,1.2000000000000002,294.0,,,,,,,,172.0,0.001,2m,2.5,4.0,1.8,892.0,,,,,,,,370.0,0.006,3m,2.0,3.0,1.2000000000000002,674.0,186,0.009000000000000001,3m,3.0,3.0,1.2000000000000002,68,150.0,0.002,2m,4.0,3.0,1.4,444.0,,,,,,,,338.0,0.005,2m,1.5,3.0,1.4,492.0,0.05,7,COMPLETE
9,9,-5.63694101589467,2025-06-14 19:35:48.138856,2025-06-14 19:35:57.333577,0 days 00:00:09.194721,1012.0,0.004,4m,4.0,1.5,0.5,248.0,64.0,0.007,2m,3.0,1.0,1.9000000000000001,316.0,678.0,0.01,4m,4.0,4.0,2.0,420.0,698.0,0.01,4m,2.5,3.5,0.8,766.0,552.0,0.003,1m,2.0,3.5,0.7,384.0,612.0,0.004,2m,1.0,1.5,1.6,82.0,90,0.004,2m,4.0,1.5,0.9,844,1010.0,0.007,3m,4.0,1.5,0.8,766.0,432.0,0.007,4m,4.0,1.5,0.9,224.0,410.0,0.006,4m,1.0,3.5,1.7000000000000002,748.0,0.45,10,COMPLETE
10,10,-1.7930534266766025,2025-06-14 19:35:57.400244,2025-06-14 19:35:58.607252,0 days 00:00:01.207008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640,0.006,2m,3.0,1.0,2.0,966,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
11,11,-4.754820952244913,2025-06-14 19:35:58.676911,2025-06-14 19:36:04.504921,0 days 00:00:05.828010,684.0,0.002,3m,1.0,1.0,1.2000000000000002,520.0,534.0,0.01,3m,2.0,3.0,0.5,918.0,,,,,,,,388.0,0.009000000000000001,1m,4.0,1.0,2.0,906.0,,,,,,,,,,,,,,,636,0.01,1m,1.0,3.5,1.6,372,336.0,0.005,3m,1.5,4.0,1.4,32.0,,,,,,,,48.0,0.01,1m,4.0,1.5,0.5,76.0,0.3,6,COMPLETE
12,12,1.3072743813313659,2025-06-14 19:36:04.569909,2025-06-14 19:36:05.749254,0 days 00:00:01.179345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568,0.006,2m,2.0,4.0,1.6,268,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
13,13,-2.639885159421151,2025-06-14 19:36:05.844811,2025-06-14 19:36:06.924725,0 days 00:00:01.079914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782,0.006,2m,2.5,4.0,1.7000000000000002,200,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
14,14,0.9165029807165714,2025-06-14 19:36:07.011549,2025-06-14 19:36:09.120130,0 days 00:00:02.108581,,,,,,,,,,,,,,,,,,,,,,380.0,0.005,1m,3.0,1.5,1.1,1006.0,,,,,,,,,,,,,,,476,0.004,2m,2.0,2.5,1.6,484,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
15,15,-6.077992536993523,2025-06-14 19:36:09.179028,2025-06-14 19:36:12.134767,0 days 00:00:02.955739,,,,,,,,,,,,,,,,,,,,,,342.0,0.008,1m,2.0,2.0,1.1,332.0,,,,,,,,,,,,,,,780,0.007,2m,3.5,3.0,1.8,172,624.0,0.004,4m,3.5,1.0,0.9,628.0,,,,,,,,,,,,,,,0.4,3,COMPLETE
16,16,-7.8474491295241195,2025-06-14 19:36:12.230008,2025-06-14 19:36:13.386926,0 days 00:00:01.156918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,0.002,2m,2.0,2.0,1.5,402,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
17,17,-2.8583821710112374,2025-06-14 19:36:13.506242,2025-06-14 19:36:15.606487,0 days 00:00:02.100245,,,,,,,,,,,,,,,,,,,,,,20.0,0.001,1m,4.0,2.0,0.5,774.0,,,,,,,,,,,,,,,618,0.005,2m,3.0,1.5,2.0,220,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
18,18,-3.1987918239717756,2025-06-14 19:36:15.696292,2025-06-14 19:36:19.488890,0 days 00:00:03.792598,374.0,0.001,3m,1.0,4.0,1.0,1024.0,,,,,,,,,,,,,,,580.0,0.006,1m,3.0,1.0,1.3,58.0,,,,,,,,,,,,,,,404,0.007,2m,3.5,3.0,1.4,582,786.0,0.004,3m,3.0,2.5,1.7000000000000002,190.0,,,,,,,,,,,,,,,0.25,4,COMPLETE
19,19,-0.9405897986125463,2025-06-14 19:36:19.549159,2025-06-14 19:36:21.755222,0 days 00:00:02.206063,,,,,,,,,,,,,,,,,,,,,,220.0,0.003,1m,2.0,3.5,1.5,1022.0,,,,,,,,,,,,,,,770,0.01,2m,2.5,3.5,1.1,444,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
20,20,-2.4566136778284107,2025-06-14 19:36:21.814750,2025-06-14 19:36:25.701728,0 days 00:00:03.886978,780.0,0.003,4m,3.5,2.5,0.5,550.0,,,,,,,,,,,,,,,482.0,0.008,1m,3.0,2.0,2.0,442.0,,,,,,,,,,,,,,,214,0.003,2m,1.5,1.0,1.8,120,404.0,0.001,3m,2.0,2.5,0.9,678.0,,,,,,,,,,,,,,,0.2,4,COMPLETE
21,21,0.45782566685674825,2025-06-14 19:36:25.763745,2025-06-14 19:36:28.065704,0 days 00:00:02.301959,,,,,,,,,,,,,,,,,,,,,,366.0,0.005,1m,3.0,1.5,1.0,1004.0,,,,,,,,,,,,,,,508,0.004,2m,2.0,2.5,1.6,506,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
22,22,-0.8143939784567324,2025-06-14 19:36:28.125862,2025-06-14 19:36:30.258125,0 days 00:00:02.132263,,,,,,,,,,,,,,,,,,,,,,476.0,0.005,1m,3.0,1.5,1.1,870.0,,,,,,,,,,,,,,,472,0.005,2m,2.0,2.5,1.7000000000000002,288,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
23,23,-3.3231566847210967,2025-06-14 19:36:30.322997,2025-06-14 19:36:31.428418,0 days 00:00:01.105421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366,0.007,2m,2.5,2.0,1.5,434,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
24,24,-0.8938964334400358,2025-06-14 19:36:31.486196,2025-06-14 19:36:34.475224,0 days 00:00:02.989028,,,,,,,,,,,,,,,,,,,,,,130.0,0.003,1m,2.0,1.5,1.4,692.0,,,,,,,,,,,,,,,578,0.003,2m,1.5,2.5,1.8,598,668.0,0.01,4m,3.0,4.0,0.5,990.0,,,,,,,,,,,,,,,0.25,3,COMPLETE
25,25,-1.451524822783582,2025-06-14 19:36:34.542135,2025-06-14 19:36:36.653428,0 days 00:00:02.111293,,,,,,,,,,,,,,,,,,,,,,288.0,0.006,1m,3.5,2.5,1.0,950.0,,,,,,,,,,,,,,,326,0.003,2m,2.0,4.0,1.5,304,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
26,26,0.3167824402494659,2025-06-14 19:36:36.719087,2025-06-14 19:36:42.514423,0 days 00:00:05.795336,434.0,0.008,2m,2.0,2.5,1.4,22.0,926.0,0.001,2m,4.0,2.0,2.0,718.0,,,,,,,,656.0,0.004,3m,2.5,3.5,1.2000000000000002,818.0,,,,,,,,,,,,,,,674,0.005,4m,2.5,1.5,1.9000000000000001,476,872.0,0.006,3m,1.0,2.0,1.9000000000000001,260.0,,,,,,,,688.0,0.001,3m,4.0,2.0,0.6,52.0,0.3,6,COMPLETE
27,27,-4.044264850460736,2025-06-14 19:36:42.595591,2025-06-14 19:36:43.769191,0 days 00:00:01.173600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704,0.006,1m,3.0,3.0,1.7000000000000002,356,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
28,28,0.09935235033834028,2025-06-14 19:36:43.831868,2025-06-14 19:36:48.000106,0 days 00:00:04.168238,798.0,0.001,3m,2.0,4.0,0.8,708.0,,,,,,,,,,,,,,,444.0,0.008,4m,4.0,1.0,0.5,696.0,,,,,,,,,,,,,,,470,0.001,3m,1.5,3.5,1.1,572,460.0,0.004,3m,2.0,2.0,1.7000000000000002,52.0,,,,,,,,,,,,,,,0.15000000000000002,4,COMPLETE
29,29,-0.3603723561001766,2025-06-14 19:36:48.065113,2025-06-14 19:36:51.057254,0 days 00:00:02.992141,,,,,,,,,,,,,,,,,,,,,,106.0,0.009000000000000001,2m,3.0,2.5,1.7000000000000002,1020.0,,,,,,,,,,,,,,,142,0.008,3m,4.0,2.0,1.3,210,238.0,0.006,1m,3.5,1.0,1.1,876.0,,,,,,,,,,,,,,,0.5,3,COMPLETE
30,30,0.17475640032852713,2025-06-14 19:36:51.136122,2025-06-14 19:36:54.287618,0 days 00:00:03.151496,,,,,,,,,,,,,,,,,,,,,,344.0,0.002,1m,3.5,1.5,0.9,824.0,,,,,,,,,,,,,,,330,0.002,2m,3.5,2.5,1.6,528,512.0,0.003,4m,2.0,3.0,0.7,586.0,,,,,,,,,,,,,,,0.25,3,COMPLETE
31,31,-0.1596296748258487,2025-06-14 19:36:54.373810,2025-06-14 19:36:56.462446,0 days 00:00:02.088636,,,,,,,,,,,,,,,,,,,,,,280.0,0.005,1m,3.0,1.5,1.0,968.0,,,,,,,,,,,,,,,506,0.004,2m,2.0,2.5,1.6,508,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
32,32,1.116038066331614,2025-06-14 19:36:56.520581,2025-06-14 19:36:58.605917,0 days 00:00:02.085336,,,,,,,,,,,,,,,,,,,,,,404.0,0.004,1m,2.5,2.0,1.2000000000000002,950.0,,,,,,,,,,,,,,,576,0.004,2m,2.0,2.0,1.4,392,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
33,33,-8.13051846940166,2025-06-14 19:36:58.675357,2025-06-14 19:36:59.712425,0 days 00:00:01.037068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570,0.005,2m,1.0,1.5,1.4,396,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
34,34,-2.868125596962415,2025-06-14 19:36:59.780402,2025-06-14 19:37:01.956562,0 days 00:00:02.176160,,,,,,,,,,,,,,,,,,,,,,420.0,0.006,1m,2.5,2.0,1.2000000000000002,932.0,,,,,,,,,,,,,,,390,0.003,4m,1.5,2.0,1.4,134,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
35,35,0.7186906709291554,2025-06-14 19:37:02.023790,2025-06-14 19:37:06.852772,0 days 00:00:04.828982,494.0,0.005,1m,3.0,1.0,2.0,404.0,754.0,0.001,1m,1.0,1.0,0.9,16.0,,,,,,,,562.0,0.004,1m,2.0,2.0,1.4,850.0,,,,,,,,,,,,,,,310,0.002,2m,2.0,2.0,1.2000000000000002,286,710.0,0.01,2m,3.0,4.0,1.0,338.0,,,,,,,,,,,,,,,0.35000000000000003,5,COMPLETE
36,36,-3.476164956254282,2025-06-14 19:37:06.926663,2025-06-14 19:37:09.989389,0 days 00:00:03.062726,,,,,,,,,,,,,,,,,,,,,,280.0,0.002,3m,1.0,3.0,1.3,752.0,,,,,,,,,,,,,,,874,0.008,1m,2.5,2.0,1.9000000000000001,334,890.0,0.005,3m,1.5,2.5,1.5,152.0,,,,,,,,,,,,,,,0.2,3,COMPLETE
37,37,-1.9621797484165255,2025-06-14 19:37:10.047642,2025-06-14 19:37:14.075526,0 days 00:00:04.027884,290.0,0.007,4m,1.5,3.0,1.6,726.0,,,,,,,,,,,,,,,516.0,0.004,1m,1.5,2.0,1.1,620.0,,,,,,,,,,,,,,,440,0.004,4m,1.5,1.5,1.3,258,876.0,0.001,3m,3.5,1.5,1.2000000000000002,690.0,,,,,,,,,,,,,,,0.3,4,COMPLETE
38,38,-1.8431711241423032,2025-06-14 19:37:14.136878,2025-06-14 19:37:22.172996,0 days 00:00:08.036118,66.0,0.003,3m,3.5,2.0,1.1,378.0,338.0,0.008,4m,4.0,2.0,1.5,674.0,,,,,,,,738.0,0.002,3m,2.5,2.5,0.7,940.0,24.0,0.01,3m,4.0,4.0,1.9000000000000001,42.0,956.0,0.001,1m,4.0,4.0,0.5,56.0,264,0.009000000000000001,2m,2.0,1.0,1.9000000000000001,648,24.0,0.007,4m,3.0,3.5,0.8,488.0,,,,,,,,58.0,0.01,1m,2.5,2.5,1.0,1010.0,0.2,8,COMPLETE
39,39,-3.8125287050967853,2025-06-14 19:37:22.254528,2025-06-14 19:37:24.403368,0 days 00:00:02.148840,,,,,,,,,,,,,,,,,,,,,,214.0,0.005,1m,3.0,3.0,1.4,290.0,,,,,,,,,,,,,,,544,0.006,3m,2.5,3.0,1.5,434,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
