,number,value,datetime_start,datetime_complete,duration,params_AEP_JD_beta_win,params_AEP_JD_stop_loss,params_AEP_JD_trade_freq,params_AEP_JD_z_entry,params_AEP_JD_z_exit,params_AEP_JD_z_stop_scaler,params_AEP_JD_z_win,params_AMGN_JD_beta_win,params_AMGN_JD_stop_loss,params_AMGN_JD_trade_freq,params_AMGN_JD_z_entry,params_AMGN_JD_z_exit,params_AMGN_JD_z_stop_scaler,params_AMGN_JD_z_win,params_CHTR_MTCH_beta_win,params_CHTR_MTCH_stop_loss,params_CHTR_MTCH_trade_freq,params_CHTR_MTCH_z_entry,params_CHTR_MTCH_z_exit,params_CHTR_MTCH_z_stop_scaler,params_CHTR_MTCH_z_win,params_DDOG_GOOGL_beta_win,params_DDOG_GOOGL_stop_loss,params_DDOG_GOOGL_trade_freq,params_DDOG_GOOGL_z_entry,params_DDOG_GOOGL_z_exit,params_DDOG_GOOGL_z_stop_scaler,params_DDOG_GOOGL_z_win,params_DDOG_GOOG_beta_win,params_DDOG_GOOG_stop_loss,params_DDOG_GOOG_trade_freq,params_DDOG_GOOG_z_entry,params_DDOG_GOOG_z_exit,params_DDOG_GOOG_z_stop_scaler,params_DDOG_GOOG_z_win,params_GOOGL_WDAY_beta_win,params_GOOGL_WDAY_stop_loss,params_GOOGL_WDAY_trade_freq,params_GOOGL_WDAY_z_entry,params_GOOGL_WDAY_z_exit,params_GOOGL_WDAY_z_stop_scaler,params_GOOGL_WDAY_z_win,params_GOOG_WDAY_beta_win,params_GOOG_WDAY_stop_loss,params_GOOG_WDAY_trade_freq,params_GOOG_WDAY_z_entry,params_GOOG_WDAY_z_exit,params_GOOG_WDAY_z_stop_scaler,params_GOOG_WDAY_z_win,params_LRCX_NXPI_beta_win,params_LRCX_NXPI_stop_loss,params_LRCX_NXPI_trade_freq,params_LRCX_NXPI_z_entry,params_LRCX_NXPI_z_exit,params_LRCX_NXPI_z_stop_scaler,params_LRCX_NXPI_z_win,params_OKTA_SWKS_beta_win,params_OKTA_SWKS_stop_loss,params_OKTA_SWKS_trade_freq,params_OKTA_SWKS_z_entry,params_OKTA_SWKS_z_exit,params_OKTA_SWKS_z_stop_scaler,params_OKTA_SWKS_z_win,params_ORLY_SIRI_beta_win,params_ORLY_SIRI_stop_loss,params_ORLY_SIRI_trade_freq,params_ORLY_SIRI_z_entry,params_ORLY_SIRI_z_exit,params_ORLY_SIRI_z_stop_scaler,params_ORLY_SIRI_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,0.9880739925707154,2025-06-22 16:56:15.509421,2025-06-22 16:56:31.502929,0 days 00:00:15.993508,,,,,,,,4616.0,0.015,3m,3.0,0.2,1.0,216.0,3344,0.025,6m,2.6,0.4,0.5,560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2968.0,0.03,5m,1.6,0.2,2.0,664.0,0.5,3,COMPLETE
1,1,0.9845001109079355,2025-06-22 16:56:31.536717,2025-06-22 16:56:40.428853,0 days 00:00:08.892136,6640.0,0.035,8m,3.0,0.2,1.5,1016.0,6536.0,0.04,4m,2.4000000000000004,0.2,2.0,984.0,5560,0.025,3m,2.0,0.6000000000000001,1.0,808,1128.0,0.025,7m,1.2,0.4,2.0,544.0,1688.0,0.05,6m,1.0,1.0,0.5,240.0,6792.0,0.02,3m,1.4,0.8,1.0,656.0,,,,,,,,,,,,,,,,,,,,,,5296.0,0.05,2m,2.8,0.4,1.5,928.0,0.35000000000000003,7,COMPLETE
2,2,0.9207159958421197,2025-06-22 16:56:40.488970,2025-06-22 16:56:43.786997,0 days 00:00:03.298027,,,,,,,,,,,,,,,1160,0.02,2m,1.2,1.0,0.5,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2216.0,0.02,7m,2.8,0.0,1.0,880.0,0.4,2,COMPLETE
3,3,1.0253010600874866,2025-06-22 16:56:43.849556,2025-06-22 16:56:55.679403,0 days 00:00:11.829847,7208.0,0.025,6m,2.8,0.4,0.5,512.0,7592.0,0.03,3m,2.2,0.0,0.5,576.0,3408,0.02,6m,1.2,1.0,0.5,880,7048.0,0.035,8m,1.4,0.8,1.5,160.0,8072.0,0.05,6m,2.2,0.4,2.0,624.0,3624.0,0.02,2m,1.8,0.2,1.5,784.0,5984.0,0.01,7m,2.6,0.6000000000000001,1.0,232.0,6216.0,0.04,9m,1.0,1.0,1.0,648.0,5192.0,0.04,9m,1.2,0.0,1.5,360.0,4664.0,0.03,2m,2.2,1.0,1.0,576.0,0.15000000000000002,10,COMPLETE
4,4,0.960717894791909,2025-06-22 16:56:55.727001,2025-06-22 16:57:04.351049,0 days 00:00:08.624048,3864.0,0.05,9m,1.4,0.2,1.5,624.0,7728.0,0.035,9m,2.0,0.2,1.0,160.0,2848,0.035,2m,1.2,0.4,0.5,176,1968.0,0.025,5m,1.0,0.2,1.0,680.0,6296.0,0.035,9m,2.8,0.6000000000000001,1.0,656.0,5608.0,0.04,7m,3.0,0.8,2.0,1000.0,,,,,,,,,,,,,,,,,,,,,,4312.0,0.04,2m,1.4,0.8,0.5,672.0,0.1,7,COMPLETE
5,5,0.9191018530651217,2025-06-22 16:57:04.382397,2025-06-22 16:57:12.428609,0 days 00:00:08.046212,1352.0,0.025,9m,1.0,0.8,2.0,992.0,7032.0,0.015,3m,2.2,1.0,1.0,680.0,2240,0.015,9m,2.2,0.6000000000000001,1.5,168,2000.0,0.035,5m,2.6,0.2,1.0,712.0,3376.0,0.03,5m,1.2,0.4,2.0,648.0,6832.0,0.025,3m,1.2,0.2,2.0,320.0,,,,,,,,,,,,,,,,,,,,,,8040.0,0.015,6m,3.0,0.0,0.5,296.0,0.35000000000000003,7,COMPLETE
6,6,1.0260910295296193,2025-06-22 16:57:12.460301,2025-06-22 16:57:23.367247,0 days 00:00:10.906946,7984.0,0.04,5m,2.8,0.0,1.0,400.0,1336.0,0.015,7m,1.2,0.8,0.5,288.0,2672,0.05,3m,1.4,0.8,1.0,992,1792.0,0.05,7m,2.4000000000000004,0.4,2.0,312.0,2840.0,0.015,7m,1.2,0.0,2.0,680.0,4768.0,0.04,7m,1.4,1.0,1.0,344.0,1600.0,0.04,2m,3.0,0.2,2.0,880.0,6208.0,0.015,8m,1.4,0.4,1.5,536.0,7896.0,0.015,9m,1.6,1.0,2.0,432.0,6288.0,0.01,7m,2.4000000000000004,0.4,1.5,576.0,0.1,10,COMPLETE
7,7,1.0445867549388153,2025-06-22 16:57:23.418922,2025-06-22 16:57:27.829009,0 days 00:00:04.410087,,,,,,,,4800.0,0.01,7m,1.2,0.0,2.0,192.0,1288,0.05,8m,2.8,1.0,1.5,832,6144.0,0.05,9m,1.8,0.0,0.5,432.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008.0,0.045000000000000005,4m,1.4,1.0,2.0,696.0,0.4,4,COMPLETE
8,8,0.9846869294760503,2025-06-22 16:57:27.871050,2025-06-22 16:57:35.984805,0 days 00:00:08.113755,7320.0,0.04,2m,1.6,0.0,1.5,816.0,1664.0,0.03,9m,1.4,0.8,2.0,672.0,5704,0.02,8m,1.4,0.2,2.0,976,4000.0,0.025,2m,1.6,0.6000000000000001,2.0,560.0,6896.0,0.05,4m,2.2,0.8,2.0,704.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4088.0,0.05,7m,1.0,0.0,2.0,200.0,0.3,6,COMPLETE
9,9,1.0301550766395462,2025-06-22 16:57:36.010806,2025-06-22 16:57:44.530999,0 days 00:00:08.520193,3600.0,0.02,3m,3.0,0.4,2.0,680.0,3296.0,0.015,6m,2.4000000000000004,0.8,1.0,944.0,4872,0.015,5m,1.0,0.2,1.0,584,5728.0,0.03,4m,1.2,0.2,2.0,288.0,3104.0,0.05,3m,2.4000000000000004,0.6000000000000001,2.0,616.0,1080.0,0.02,9m,2.0,0.4,1.0,840.0,,,,,,,,,,,,,,,,,,,,,,7440.0,0.04,4m,3.0,0.4,0.5,304.0,0.15000000000000002,7,COMPLETE
10,10,1.0049682102606041,2025-06-22 16:57:44.551274,2025-06-22 16:57:48.431094,0 days 00:00:03.879820,,,,,,,,5000.0,0.05,7m,1.0,0.4,1.5,400.0,7840,0.05,7m,3.0,0.0,2.0,688,7464.0,0.01,9m,2.0,0.0,0.5,968.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1416.0,0.04,4m,1.8,0.8,2.0,448.0,0.5,4,COMPLETE
11,11,0.9907730844071512,2025-06-22 16:57:48.478897,2025-06-22 16:57:54.829981,0 days 00:00:06.351084,,,,,,,,3080.0,0.01,6m,1.6,0.6000000000000001,1.5,1000.0,4768,0.04,5m,2.0,0.0,1.5,432,5432.0,0.05,4m,1.8,0.0,0.5,328.0,4744.0,0.035,3m,3.0,0.0,1.5,928.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8120.0,0.04,4m,1.0,0.6000000000000001,1.0,368.0,0.2,5,COMPLETE
12,12,1.0,2025-06-22 16:57:54.901343,2025-06-22 16:58:02.302436,0 days 00:00:07.401093,,,,,,,,,,,,,,,6928,0.01,8m,2.8,0.2,1.5,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
13,13,1.0010099870702636,2025-06-22 16:58:02.348441,2025-06-22 16:58:12.430859,0 days 00:00:10.082418,3768.0,0.01,3m,2.2,1.0,2.0,176.0,3184.0,0.02,6m,2.8,0.6000000000000001,1.5,880.0,4392,0.04,5m,2.4000000000000004,0.8,1.0,696,5480.0,0.04,4m,3.0,0.0,1.5,352.0,1136.0,0.01,3m,1.8,0.6000000000000001,1.5,320.0,1424.0,0.01,9m,2.6,0.4,0.5,1016.0,8040.0,0.05,9m,1.0,1.0,0.5,152.0,,,,,,,,,,,,,,,6736.0,0.045000000000000005,4m,1.4,1.0,1.5,128.0,0.05,8,COMPLETE
