,number,value,datetime_start,datetime_complete,duration,params_AMAT_TXN_beta_win,params_AMAT_TXN_stop_loss,params_AMAT_TXN_trade_freq,params_AMAT_TXN_z_entry,params_AMAT_TXN_z_exit,params_AMAT_TXN_z_stop_scaler,params_AMAT_TXN_z_win,params_AMD_PCAR_beta_win,params_AMD_PCAR_stop_loss,params_AMD_PCAR_trade_freq,params_AMD_PCAR_z_entry,params_AMD_PCAR_z_exit,params_AMD_PCAR_z_stop_scaler,params_AMD_PCAR_z_win,params_ATVI_NTES_beta_win,params_ATVI_NTES_stop_loss,params_ATVI_NTES_trade_freq,params_ATVI_NTES_z_entry,params_ATVI_NTES_z_exit,params_ATVI_NTES_z_stop_scaler,params_ATVI_NTES_z_win,params_BKNG_MAR_beta_win,params_BKNG_MAR_stop_loss,params_BKNG_MAR_trade_freq,params_BKNG_MAR_z_entry,params_BKNG_MAR_z_exit,params_BKNG_MAR_z_stop_scaler,params_BKNG_MAR_z_win,params_CHTR_CTAS_beta_win,params_CHTR_CTAS_stop_loss,params_CHTR_CTAS_trade_freq,params_CHTR_CTAS_z_entry,params_CHTR_CTAS_z_exit,params_CHTR_CTAS_z_stop_scaler,params_CHTR_CTAS_z_win,params_COST_PCAR_beta_win,params_COST_PCAR_stop_loss,params_COST_PCAR_trade_freq,params_COST_PCAR_z_entry,params_COST_PCAR_z_exit,params_COST_PCAR_z_stop_scaler,params_COST_PCAR_z_win,params_CSX_ZM_beta_win,params_CSX_ZM_stop_loss,params_CSX_ZM_trade_freq,params_CSX_ZM_z_entry,params_CSX_ZM_z_exit,params_CSX_ZM_z_stop_scaler,params_CSX_ZM_z_win,params_KHC_SPLK_beta_win,params_KHC_SPLK_stop_loss,params_KHC_SPLK_trade_freq,params_KHC_SPLK_z_entry,params_KHC_SPLK_z_exit,params_KHC_SPLK_z_stop_scaler,params_KHC_SPLK_z_win,params_LULU_PCAR_beta_win,params_LULU_PCAR_stop_loss,params_LULU_PCAR_trade_freq,params_LULU_PCAR_z_entry,params_LULU_PCAR_z_exit,params_LULU_PCAR_z_stop_scaler,params_LULU_PCAR_z_win,params_MCHP_ZM_beta_win,params_MCHP_ZM_stop_loss,params_MCHP_ZM_trade_freq,params_MCHP_ZM_z_entry,params_MCHP_ZM_z_exit,params_MCHP_ZM_z_stop_scaler,params_MCHP_ZM_z_win,params_MNST_ZM_beta_win,params_MNST_ZM_stop_loss,params_MNST_ZM_trade_freq,params_MNST_ZM_z_entry,params_MNST_ZM_z_exit,params_MNST_ZM_z_stop_scaler,params_MNST_ZM_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,1.0,2025-06-22 16:56:13.582634,2025-06-22 16:56:30.483088,0 days 00:00:16.900454,3344,0.025,6m,2.6,0.4,0.5,560,,,,,,,,,,,,,,,7648,0.01,5m,2.2,0.8,1.5,736,,,,,,,,4616.0,0.015,3m,3.0,0.2,1.0,216.0,,,,,,,,,,,,,,,2968.0,0.03,5m,1.6,0.2,2.0,664.0,,,,,,,,,,,,,,,0.35000000000000003,3,COMPLETE
1,1,0.9505767215129941,2025-06-22 16:56:30.526516,2025-06-22 16:56:36.340990,0 days 00:00:05.814474,5296,0.05,2m,2.8,0.4,1.5,928,,,,,,,,,,,,,,,6640,0.035,8m,3.0,0.2,1.5,1016,,,,,,,,1128.0,0.025,7m,1.2,0.4,2.0,544.0,,,,,,,,1688.0,0.05,6m,1.0,1.0,0.5,240.0,6536.0,0.04,4m,2.4000000000000004,0.2,2.0,984.0,,,,,,,,,,,,,,,0.45,4,COMPLETE
2,2,0.940227489442454,2025-06-22 16:56:36.376990,2025-06-22 16:56:45.061906,0 days 00:00:08.684916,2456,0.01,9m,1.6,0.4,2.0,752,5256.0,0.025,5m,3.0,0.6000000000000001,1.5,608.0,,,,,,,,2856,0.05,7m,2.8,0.0,0.5,592,,,,,,,,2216.0,0.02,7m,2.8,0.0,1.0,880.0,2200.0,0.01,2m,2.0,0.6000000000000001,1.5,360.0,6440.0,0.03,8m,1.6,0.8,0.5,1008.0,1160.0,0.02,2m,1.2,1.0,0.5,168.0,,,,,,,,,,,,,,,0.25,6,COMPLETE
3,3,0.8871126408057276,2025-06-22 16:56:45.094366,2025-06-22 16:56:53.396940,0 days 00:00:08.302574,8072,0.05,6m,2.2,0.4,2.0,624,5192.0,0.04,9m,1.2,0.0,1.5,360.0,,,,,,,,2920,0.02,4m,2.0,0.6000000000000001,0.5,656,,,,,,,,3624.0,0.02,2m,1.8,0.2,1.5,784.0,6216.0,0.04,9m,1.0,1.0,1.0,648.0,5984.0,0.01,7m,2.6,0.6000000000000001,1.0,232.0,7208.0,0.025,6m,2.8,0.4,0.5,512.0,3072.0,0.045000000000000005,4m,1.4,0.0,0.5,688.0,,,,,,,,0.15000000000000002,7,COMPLETE
4,4,0.9663766964085925,2025-06-22 16:56:53.432962,2025-06-22 16:57:01.853650,0 days 00:00:08.420688,7728,0.035,9m,2.0,0.2,1.0,160,2344.0,0.03,9m,1.2,0.0,1.5,752.0,,,,,,,,2240,0.015,2m,2.8,0.6000000000000001,1.5,240,,,,,,,,6296.0,0.035,9m,2.8,0.6000000000000001,1.0,656.0,5608.0,0.04,7m,3.0,0.8,2.0,1000.0,3864.0,0.05,9m,1.4,0.2,1.5,624.0,1968.0,0.025,5m,1.0,0.2,1.0,680.0,7832.0,0.02,8m,3.0,0.2,2.0,264.0,,,,,,,,0.35000000000000003,7,COMPLETE
5,5,0.9919760135803389,2025-06-22 16:57:01.887713,2025-06-22 16:57:05.488654,0 days 00:00:03.600941,2000,0.035,5m,2.6,0.2,1.0,712,,,,,,,,,,,,,,,1352,0.025,9m,1.0,0.8,2.0,992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3376.0,0.03,5m,1.2,0.4,2.0,648.0,,,,,,,,,,,,,,,0.45,2,COMPLETE
6,6,1.001026068617494,2025-06-22 16:57:05.538461,2025-06-22 16:57:10.425653,0 days 00:00:04.887192,1792,0.05,3m,2.6,1.0,2.0,296,,,,,,,,,,,,,,,1336,0.015,7m,1.2,0.8,0.5,288,,,,,,,,6288.0,0.01,7m,2.4000000000000004,0.4,1.5,576.0,,,,,,,,,,,,,,,2672.0,0.05,3m,1.4,0.8,1.0,992.0,,,,,,,,,,,,,,,0.1,3,COMPLETE
7,7,0.9997180251095633,2025-06-22 16:57:10.444429,2025-06-22 16:57:14.476127,0 days 00:00:04.031698,5728,0.035,8m,3.0,1.0,1.5,488,,,,,,,,,,,,,,,2968,0.045000000000000005,5m,1.8,0.2,1.0,920,,,,,,,,7016.0,0.02,8m,1.8,0.0,1.0,208.0,,,,,,,,,,,,,,,2072.0,0.02,9m,3.0,0.8,1.0,136.0,,,,,,,,,,,,,,,0.5,3,COMPLETE
8,8,0.9842159005023117,2025-06-22 16:57:14.502473,2025-06-22 16:57:18.649963,0 days 00:00:04.147490,7552,0.03,2m,1.2,0.8,1.5,984,,,,,,,,,,,,,,,7624,0.045000000000000005,5m,1.4,0.0,2.0,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5248.0,0.05,7m,2.4000000000000004,0.2,1.5,392.0,,,,,,,,,,,,,,,0.45,2,COMPLETE
9,9,0.9657685202633438,2025-06-22 16:57:18.695495,2025-06-22 16:57:30.250784,0 days 00:00:11.555289,4912,0.05,6m,2.0,0.8,1.0,216,1632.0,0.035,5m,3.0,0.8,1.5,264.0,3424.0,0.035,9m,3.0,0.8,1.5,672.0,3280,0.04,8m,2.4000000000000004,1.0,0.5,256,,,,,,,,7920.0,0.01,3m,2.6,0.8,1.5,776.0,2792.0,0.01,6m,2.6,0.0,1.0,328.0,2176.0,0.05,6m,1.0,0.0,0.5,736.0,7784.0,0.015,6m,1.2,0.8,1.5,784.0,2896.0,0.03,7m,2.8,0.4,1.5,808.0,5392.0,0.04,2m,3.0,0.0,1.5,736.0,0.3,9,COMPLETE
10,10,1.0,2025-06-22 16:57:30.294876,2025-06-22 16:57:33.670896,0 days 00:00:03.376020,1104,0.015,3m,2.4000000000000004,1.0,2.0,384,,,,,,,,,,,,,,,5392,0.03,3m,1.0,1.0,1.0,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
11,11,0.9997473691639033,2025-06-22 16:57:33.699617,2025-06-22 16:57:39.723160,0 days 00:00:06.023543,3224,0.025,7m,2.6,0.0,0.5,360,,,,,,,,,,,,,,,4648,0.01,7m,1.6,0.8,1.5,768,,,,,,,,5128.0,0.01,4m,2.4000000000000004,0.4,0.5,200.0,,,,,,,,8064.0,0.01,4m,3.0,0.4,2.0,952.0,3840.0,0.04,3m,1.8,0.0,1.5,1016.0,,,,,,,,,,,,,,,0.2,4,COMPLETE
12,12,1.0030698286582918,2025-06-22 16:57:39.764671,2025-06-22 16:57:46.324294,0 days 00:00:06.559623,3552,0.02,3m,3.0,0.6000000000000001,0.5,360,,,,,,,,,,,,,,,6200,0.01,6m,2.4000000000000004,0.8,1.0,768,,,,,,,,4952.0,0.05,5m,3.0,1.0,2.0,440.0,,,,,,,,4032.0,0.03,3m,2.4000000000000004,1.0,2.0,408.0,3000.0,0.04,3m,1.8,0.6000000000000001,1.0,840.0,,,,,,,,,,,,,,,0.05,4,COMPLETE
13,13,0.9793707486230637,2025-06-22 16:57:46.349257,2025-06-22 16:57:53.968581,0 days 00:00:07.619324,3672,0.02,3m,3.0,0.8,0.5,312,,,,,,,,,,,,,,,5912,0.02,6m,1.4,0.4,1.0,144,,,,,,,,5896.0,0.045000000000000005,5m,2.2,1.0,2.0,448.0,7736.0,0.05,8m,1.0,0.0,0.5,1016.0,3768.0,0.03,3m,2.2,1.0,2.0,440.0,4720.0,0.05,3m,1.6,0.8,1.0,880.0,,,,,,,,,,,,,,,0.05,5,COMPLETE
14,14,0.959007162586418,2025-06-22 16:57:54.013664,2025-06-22 16:58:07.974824,0 days 00:00:13.961160,1336,0.04,3m,3.0,0.6000000000000001,1.5,440,8120.0,0.01,3m,2.0,1.0,0.5,1024.0,7688.0,0.01,5m,1.0,0.0,0.5,152.0,4528,0.015,6m,2.6,0.8,0.5,464,3096.0,0.01,6m,1.2,0.0,1.5,248.0,3464.0,0.05,6m,3.0,1.0,2.0,432.0,3912.0,0.025,5m,1.8,0.4,2.0,160.0,5032.0,0.02,3m,2.2,0.6000000000000001,1.5,416.0,2344.0,0.04,3m,2.2,0.6000000000000001,1.0,848.0,7120.0,0.01,5m,1.0,1.0,0.5,160.0,1304.0,0.015,5m,1.0,1.0,0.5,128.0,0.1,10,COMPLETE
15,15,0.9900208750404376,2025-06-22 16:58:08.027980,2025-06-22 16:58:16.051177,0 days 00:00:08.023197,4144,0.01,4m,2.2,0.6000000000000001,1.0,264,,,,,,,,,,,,,,,1224,0.01,7m,2.2,1.0,1.0,832,,,,,,,,5712.0,0.035,5m,2.2,0.6000000000000001,1.5,376.0,1216.0,0.025,3m,1.6,0.4,0.5,680.0,3064.0,0.04,2m,3.0,0.8,2.0,136.0,5568.0,0.045000000000000005,8m,1.8,0.6000000000000001,0.5,896.0,,,,,,,,,,,,,,,0.15000000000000002,5,COMPLETE
16,16,0.9636113366144278,2025-06-22 16:58:16.088080,2025-06-22 16:58:21.701778,0 days 00:00:05.613698,2712,0.02,3m,1.0,1.0,0.5,136,,,,,,,,,,,,,,,6776,0.02,6m,1.8,0.6000000000000001,0.5,520,,,,,,,,7144.0,0.04,5m,1.4,0.8,2.0,608.0,,,,,,,,,,,,,,,3800.0,0.045000000000000005,3m,1.6,1.0,1.0,768.0,,,,,,,,,,,,,,,0.1,3,COMPLETE
17,17,0.9795154324129038,2025-06-22 16:58:21.757387,2025-06-22 16:58:24.881605,0 days 00:00:03.124218,6256,0.045000000000000005,3m,1.6,0.8,2.0,536,,,,,,,,,,,,,,,4096,0.03,4m,1.2,0.4,1.0,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
18,18,0.9705868532575954,2025-06-22 16:58:24.912107,2025-06-22 16:58:34.923202,0 days 00:00:10.011095,1952,0.025,8m,2.8,0.6000000000000001,1.0,280,7864.0,0.01,2m,2.2,0.4,0.5,136.0,,,,,,,,5440,0.015,2m,2.4000000000000004,0.8,0.5,640,,,,,,,,4192.0,0.03,7m,2.6,0.8,1.5,1000.0,8048.0,0.05,4m,2.6,1.0,1.5,800.0,5128.0,0.02,5m,1.8,0.4,1.5,496.0,1072.0,0.035,3m,2.0,0.6000000000000001,1.5,504.0,,,,,,,,,,,,,,,0.2,6,COMPLETE
19,19,0.9844730939665893,2025-06-22 16:58:34.960515,2025-06-22 16:58:42.159820,0 days 00:00:07.199305,4424,0.04,4m,2.4000000000000004,0.0,1.5,424,,,,,,,,,,,,,,,6448,0.025,3m,2.0,1.0,1.0,824,,,,,,,,6680.0,0.05,6m,2.0,0.4,2.0,328.0,,,,,,,,7672.0,0.04,3m,2.4000000000000004,0.8,1.0,800.0,2744.0,0.05,4m,1.4,0.8,0.5,936.0,,,,,,,,,,,,,,,0.1,4,COMPLETE
20,20,0.9598917601460306,2025-06-22 16:58:42.192363,2025-06-22 16:58:50.873975,0 days 00:00:08.681612,1840,0.015,7m,1.6,1.0,2.0,648,3632.0,0.05,7m,2.0,0.4,2.0,1008.0,,,,,,,,8176,0.025,9m,1.4,0.6000000000000001,0.5,696,,,,,,,,7944.0,0.04,2m,2.4000000000000004,0.2,1.5,544.0,4240.0,0.02,8m,1.4,0.2,0.5,432.0,2856.0,0.02,4m,2.6,1.0,2.0,344.0,4152.0,0.045000000000000005,9m,2.0,0.6000000000000001,1.0,1024.0,1056.0,0.05,9m,2.0,1.0,2.0,1008.0,,,,,,,,0.15000000000000002,7,COMPLETE
21,21,1.0,2025-06-22 16:58:50.889737,2025-06-22 16:58:56.199421,0 days 00:00:05.309684,3152,0.025,6m,2.6,0.2,0.5,552,,,,,,,,,,,,,,,7528,0.01,5m,2.2,0.8,1.5,744,,,,,,,,4984.0,0.015,3m,3.0,0.2,0.5,288.0,,,,,,,,,,,,,,,3032.0,0.035,5m,1.6,0.0,2.0,712.0,,,,,,,,,,,,,,,0.35000000000000003,3,COMPLETE
22,22,0.9806971255592243,2025-06-22 16:58:56.231250,2025-06-22 16:59:00.779919,0 days 00:00:04.548669,3856,0.03,5m,2.8,0.6000000000000001,0.5,864,,,,,,,,,,,,,,,7120,0.01,5m,2.4000000000000004,0.8,1.5,888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2992.0,0.035,2m,1.4,0.4,1.5,592.0,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
23,23,1.0,2025-06-22 16:59:00.814737,2025-06-22 16:59:06.656099,0 days 00:00:05.841362,2904,0.02,6m,2.4000000000000004,0.4,0.5,344,,,,,,,,,,,,,,,6048,0.015,6m,2.2,0.6000000000000001,2.0,736,,,,,,,,4152.0,0.01,3m,3.0,0.2,1.0,128.0,,,,,,,,1320.0,0.04,7m,2.0,0.0,1.0,608.0,1736.0,0.03,7m,1.8,1.0,1.0,800.0,,,,,,,,,,,,,,,0.3,4,COMPLETE
24,24,0.9596685314225352,2025-06-22 16:59:06.688510,2025-06-22 16:59:11.138799,0 days 00:00:04.450289,3488,0.015,3m,2.8,0.2,0.5,472,,,,,,,,,,,,,,,7848,0.01,7m,2.6,1.0,1.5,520,,,,,,,,5384.0,0.015,8m,2.8,0.6000000000000001,1.0,480.0,,,,,,,,,,,,,,,4496.0,0.01,8m,1.4,0.4,2.0,376.0,,,,,,,,,,,,,,,0.25,3,COMPLETE
25,25,0.9846776598120511,2025-06-22 16:59:11.169834,2025-06-22 16:59:17.806234,0 days 00:00:06.636400,2592,0.025,3m,2.6,0.8,1.0,208,,,,,,,,,,,,,,,7184,0.015,5m,1.8,0.8,1.0,608,,,,,,,,4400.0,0.015,9m,2.6,0.4,0.5,664.0,6096.0,0.035,9m,2.6,0.6000000000000001,1.5,128.0,6696.0,0.025,8m,2.8,0.2,1.5,864.0,3424.0,0.04,5m,1.0,0.8,1.5,944.0,,,,,,,,,,,,,,,0.4,5,COMPLETE
26,26,1.0,2025-06-22 16:59:17.868999,2025-06-22 16:59:21.680011,0 days 00:00:03.811012,4792,0.03,6m,3.0,0.6000000000000001,0.5,792,,,,,,,,,,,,,,,5264,0.02,7m,2.0,0.4,1.5,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2640.0,0.045000000000000005,3m,2.2,0.2,1.0,840.0,,,,,,,,,,,,,,,0.2,2,COMPLETE
27,27,1.0,2025-06-22 16:59:21.707846,2025-06-22 16:59:24.750069,0 days 00:00:03.042223,2280,0.02,3m,2.2,0.4,1.0,608,,,,,,,,,,,,,,,1872,0.01,6m,2.6,0.8,1.0,808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
28,28,1.0023368603542377,2025-06-22 16:59:24.783048,2025-06-22 16:59:30.090385,0 days 00:00:05.307337,1536,0.045000000000000005,4m,1.8,0.6000000000000001,0.5,528,,,,,,,,,,,,,,,3656,0.015,9m,1.6,0.6000000000000001,2.0,904,,,,,,,,2880.0,0.025,4m,3.0,0.0,1.5,304.0,,,,,,,,,,,,,,,1616.0,0.025,3m,1.6,0.6000000000000001,0.5,760.0,,,,,,,,,,,,,,,0.05,3,COMPLETE
